date_excel;month;year;day;date;population;vaccination;dose1;dose2;dose1_cum;dose2_cum;vaccination_cum;infections_stadt;infections_lkr;immune_infect;immune_vac;immune;
44459;9;2021;20;2021-9-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44460;9;2021;21;2021-9-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44461;9;2021;22;2021-9-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44462;9;2021;23;2021-9-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44463;9;2021;24;2021-9-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44464;9;2021;25;2021-9-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44465;9;2021;26;2021-9-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44466;9;2021;27;2021-9-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44467;9;2021;28;2021-9-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44468;9;2021;29;2021-9-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44469;9;2021;30;2021-9-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44470;10;2021;1;2021-10-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44471;10;2021;2;2021-10-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44472;10;2021;3;2021-10-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44473;10;2021;4;2021-10-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44474;10;2021;5;2021-10-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44475;10;2021;6;2021-10-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44476;10;2021;7;2021-10-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44477;10;2021;8;2021-10-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44478;10;2021;9;2021-10-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44479;10;2021;10;2021-10-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44480;10;2021;11;2021-10-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44481;10;2021;12;2021-10-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44482;10;2021;13;2021-10-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44483;10;2021;14;2021-10-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44484;10;2021;15;2021-10-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44485;10;2021;16;2021-10-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44486;10;2021;17;2021-10-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44487;10;2021;18;2021-10-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44488;10;2021;19;2021-10-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44489;10;2021;20;2021-10-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44490;10;2021;21;2021-10-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44491;10;2021;22;2021-10-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44492;10;2021;23;2021-10-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44493;10;2021;24;2021-10-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44494;10;2021;25;2021-10-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44495;10;2021;26;2021-10-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44496;10;2021;27;2021-10-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44497;10;2021;28;2021-10-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44498;10;2021;29;2021-10-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44499;10;2021;30;2021-10-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44500;10;2021;31;2021-10-31;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44501;11;2021;1;2021-11-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44502;11;2021;2;2021-11-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44503;11;2021;3;2021-11-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44504;11;2021;4;2021-11-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44505;11;2021;5;2021-11-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44506;11;2021;6;2021-11-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44507;11;2021;7;2021-11-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44508;11;2021;8;2021-11-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44509;11;2021;9;2021-11-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44510;11;2021;10;2021-11-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44511;11;2021;11;2021-11-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44512;11;2021;12;2021-11-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44513;11;2021;13;2021-11-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44514;11;2021;14;2021-11-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44515;11;2021;15;2021-11-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44516;11;2021;16;2021-11-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44517;11;2021;17;2021-11-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44518;11;2021;18;2021-11-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44519;11;2021;19;2021-11-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44520;11;2021;20;2021-11-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44521;11;2021;21;2021-11-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44522;11;2021;22;2021-11-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44523;11;2021;23;2021-11-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44524;11;2021;24;2021-11-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44525;11;2021;25;2021-11-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44526;11;2021;26;2021-11-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44527;11;2021;27;2021-11-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44528;11;2021;28;2021-11-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44529;11;2021;29;2021-11-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44530;11;2021;30;2021-11-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44531;12;2021;1;2021-12-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44532;12;2021;2;2021-12-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44533;12;2021;3;2021-12-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44534;12;2021;4;2021-12-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44535;12;2021;5;2021-12-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44536;12;2021;6;2021-12-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44537;12;2021;7;2021-12-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44538;12;2021;8;2021-12-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44539;12;2021;9;2021-12-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44540;12;2021;10;2021-12-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44541;12;2021;11;2021-12-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44542;12;2021;12;2021-12-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44543;12;2021;13;2021-12-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44544;12;2021;14;2021-12-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44545;12;2021;15;2021-12-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44546;12;2021;16;2021-12-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44547;12;2021;17;2021-12-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44548;12;2021;18;2021-12-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44549;12;2021;19;2021-12-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44550;12;2021;20;2021-12-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44551;12;2021;21;2021-12-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44552;12;2021;22;2021-12-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44553;12;2021;23;2021-12-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44554;12;2021;24;2021-12-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44555;12;2021;25;2021-12-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44556;12;2021;26;2021-12-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44557;12;2021;27;2021-12-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44558;12;2021;28;2021-12-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44559;12;2021;29;2021-12-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44560;12;2021;30;2021-12-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44561;12;2021;31;2021-12-31;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
